Year,Headline ,Link,Asset,Estimated_Cash_lost,investigation_status 
2008,Pattni firm claims Sh2bn from CBK over Grand Regency,https://www.nation.co.ke/news/Pattni-Sh2bn-CBK-Grand-Laico-Regency-hotel/1056-2339118-15jd1h4z/index.html,,Sh2.9 billion,Concluded
2008,Sh7.6b Triton oil scandal still remains unresolved,Read more at: https://www.standardmedia.co.ke/article/2000149258/sh7-6b-triton-oil-scandal-still-remains-unresolved,Sh7.6billion,Sh7.6billion,Ongoing
2008,Former Governor Kidero loses land illegally sold to him in Kisumu,Read more at: https://www.standardmedia.co.ke/article/2001273797/former-governor-kidero-loses-land-illegally-sold-to-him-in-kisumu,Sh 12 million,,Concluded
2009,"Raila's family was involved in maize scandal, claim US cables",Read more at: https://www.standardmedia.co.ke/business/article/2000030197/raila-s-family-was-involved-in-maize-scandal-claim-us-cables,Sh2 billion,,Ongoing
2009,Two jailed over Nairobi Sh283m cemetery land scandal,https://www.nation.co.ke/news/Two-jailed-over-cemetery-land-scandal/1056-4354372-a7xspt/index.html,Sh283million,Sh160 million,Concluded
2010,MPs grill Haji over military hardware deals,https://www.standardmedia.co.ke/article/2000020947/sh1-6-billion-tender-scandal-rocks-dod,Sh1.6 billion,,Concluded
2010,Kenya minister steps aside over saga,https://www.nation.co.ke/News/Kenya%20minister%20steps%20aside%20over%20saga/-/1056/1041378/-/foio57z/-/index.html,Sh1.4 billion,Sh1.6 billion ,Concluded
2010,"Chicken gate scandal suspects James Oswago and Trevy Oyombra arrested, to appear in court",Read more at: https://www.standardmedia.co.ke/article/2001228648/chicken-gate-scandal-suspects-james-oswago-and-trevy-oyombra-arrested-to-appear-in-court,Sh50-million-Sh59 million,,Ongoing in kenya (convictions in the UK)
2013,Ruto’s luxury jet hire to cost Sh100m,https://www.nation.co.ke/news/politics/Rutos-luxury-jet-hire-to-cost-Sh100m/1064-1856688-hgw42d/index.html,Sh100 million,Sh8 million per month,Concluded
2013,KAA boss blames CS in Pattni shops saga,https://www.nation.co.ke/news/KAA-boss-blames-CS-in-Pattni-shops-saga/1056-2754642-ero16iz/index.html,Sh7 billion,Sh7 billion-Sh11 billion,Concluded
2013,President Kenyatta orders Sh1.4bn pay to Anglo Leasing,https://www.nation.co.ke/news/Uhuru-Kenyatta-Anglo-Leasing-Debt-National-Treasury/1056-2316458-12ld742/index.html,,Sh1.4 billion,Concluded
